token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-18_score,layer_-18_rank,layer_-19_score,layer_-19_rank,layer_-20_score,layer_-20_rank,layer_-22_score,layer_-22_rank,layer_-3_score,layer_-3_rank,layer_-4_score,layer_-4_rank,layer_-6_score,layer_-6_rank,layer_-7_score,layer_-7_rank,layer_-2_score,layer_-2_rank,layer_-5_score,layer_-5_rank,layer_-13_score,layer_-13_rank,layer_-14_score,layer_-14_rank,layer_-30_score,layer_-30_rank,layer_-26_score,layer_-26_rank,layer_-8_score,layer_-8_rank,layer_-9_score,layer_-9_rank,layer_-10_score,layer_-10_rank,layer_-12_score,layer_-12_rank,layer_-11_score,layer_-11_rank,layer_-17_score,layer_-17_rank,layer_-21_score,layer_-21_rank,layer_-23_score,layer_-23_rank,layer_-27_score,layer_-27_rank,layer_-28_score,layer_-28_rank,layer_-16_score,layer_-16_rank,layer_-29_score,layer_-29_rank
.setBackgroundResource,0.710330605506897,1.2,0.00094439945,1.0,2,unknown_concept,0.015034914016723633,1.0,0.014241470023989677,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockefeller,0.7103254795074463,1.2,0.0009300446,1.0,2,unknown_concept,,,,,0.012653595767915249,10.0,0.016177790239453316,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricey,0.7102965116500854,1.2,0.00084695494,1.0,2,unknown_concept,,,,,,,,,0.012865692377090454,4.0,0.013389910571277142,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowden,0.710271954536438,1.2,0.00077688607,1.0,2,unknown_concept,,,,,,,,,,,,,0.011593765579164028,13.0,0.01248970441520214,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ureen,0.7102423906326294,1.2,0.0006925203,1.0,2,unknown_concept,,,,,,,,,,,,,0.01069714780896902,34.0,0.010770980268716812,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT,0.7101284265518188,1.2,0.00036684543,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.011372208595275879,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo,0.7063346860455532,1.2,0.0007321442,0.9803921568627452,2,unknown_concept,,,,,,,,,0.011509574949741364,18.0,,,,,,,,,0.01118689589202404,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby,0.6769444088141124,1.2,0.0007934734,0.8333333333333334,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,0.012633508071303368,11.0,0.011964168399572372,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ama,0.6503105163574219,1.0,0.0008871547,1.0,2,unknown_concept,,,,,,,,,,,0.014696894213557243,1.0,,,,,0.012804903090000153,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.PL,0.6502547264099121,1.0,0.0007276289,1.0,2,unknown_concept,,,,,,,,,,,,,0.01119358092546463,19.0,0.011362915858626366,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,0.6501355171203613,1.0,0.00038727303,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,0.012005464173853397,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OSC,0.6461978910016078,1.0,0.00034127064,0.9803921568627451,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010579390451312065,50.0,,,,,,,,,,,,,,,,,,,,,,,,
harmless,0.6439000115569637,1.2,0.0017359359,0.6664620865266551,4,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013940203934907913,3.0,0.014379851520061493,4.0,0.014231754466891289,2.0,0.011262208223342896,21.0,,,,,,,,,,,,,,,,
Attend,0.6337195715050639,1.2,0.00075078773,0.6172839506172839,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011453721672296524,28.0,,,0.011820698156952858,24.0,,,,,,,,,,,,,,
abducted,0.6242162196215062,1.2,0.000731682,0.5698005698005698,2,unknown_concept,0.011893728747963905,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010788414627313614,15.0,,,,,,,,,,,,
laughs,0.62138202852673,1.2,0.0007740263,0.5555555555555556,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01301305927336216,13.0,0.010981757193803787,21.0,,,,,,,,
bast,0.6084604467939171,1.2,0.0012432814,0.490126443898098,3,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,0.01325574517250061,2.0,,,,,,,,,,,,,,,,,,,0.013208553194999695,3.0,0.01207742653787136,22.0,,,,
завод,0.6025881767272949,0.84,0.001680406,1.0,4,unknown_concept,,,,,,,,,0.01345149613916874,2.0,0.013292019255459309,4.0,0.012529225088655949,6.0,,,,,0.012819848954677582,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPI,0.5952067065066186,1.0,0.0007976245,0.7246376811594202,3,unknown_concept,,,0.012839917093515396,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011886443942785263,24.0,,
Gregg,0.5893199919718799,1.2,0.0016360654,0.39373677922204003,4,unknown_concept,,,,,,,,,0.011278869584202766,22.0,,,0.01477549597620964,1.0,0.01144564151763916,19.0,,,0.013218021020293236,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
useppe,0.588403069972992,1.2,0.00079446053,0.390625,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012795335613191128,8.0,0.011832941323518753,22.0,,,,,,,,,,,,,,,,,,,,
rift,0.5825946178725141,1.2,0.0007482144,0.3616636528028933,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,0.011698966845870018,36.0,,,,,,,,,,,,,,,,,,,,,0.01149568147957325,41.0,,,,
mort,0.5815725228153236,1.2,0.000775005,0.35650623885918004,2,unknown_concept,,,,,,,,,0.011076517403125763,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012948639690876007,8.0
Accordion,0.5808321683600256,1.2,0.00081545644,0.3527336860670194,2,unknown_concept,,,,,,,,,,,0.0133511396124959,3.0,,,,,0.011928011663258076,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gown,0.576061046750922,1.2,0.000775869,0.32894736842105265,2,unknown_concept,0.012368140742182732,11.0,,,,,,,,,,,,,,,,,,,,,0.01168379932641983,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pediatric,0.5742072992491837,1.2,0.0010720112,0.319160368526039,3,unknown_concept,,,,,,,,,,,,,,,,,,,,,0.011320393532514572,44.0,0.011419983580708504,44.0,,,,,,,,,,,0.010491972789168358,49.0,,,,,,,,,,,,,,,,
shorts,0.5670138704861309,1.2,0.00078933727,0.2836879432624113,2,unknown_concept,,,0.012467356398701668,29.0,,,,,,,,,,,,,,,,,,,0.012002099305391312,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bead,0.5642386132276322,1.2,0.0011349024,0.26920696784867126,3,unknown_concept,0.011943886987864971,21.0,,,,,,,,,0.011424961499869823,28.0,,,,,,,0.011813122779130936,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupid,0.5629617563492417,1.2,0.0011566193,0.2627846854956745,3,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011973914690315723,21.0,0.012488303706049919,15.0,0.011392980813980103,32.0,,,,,,,,,,,,,,,,,,
CNT,0.5613700754112667,1.0,0.00073983875,0.5555555555555556,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011582691222429276,13.0,,,,,,,,,,,,,,,,,0.011352309957146645,21.0,,,,,,
